LocationID,ARPLatitude,ARPLongitude
'AK89,61-39-22.7100N,149-53-12.2000W
'AA33,61-36-14.9400N,149-46-12.4300W
'80AK,61-36-07.0900N,149-47-03.0500W
'AK29,61-36-45.3600N,149-51-08.2100W
'13AK,61-39-16.9200N,149-54-00.0000W
'AA30,61-38-53.4800N,149-52-14.9900W
'HUS,66-02-20.7000N,154-15-52.9000W
'HLA,65-41-52.3000N,156-21-05.0000W
'HYG,55-12-22.7380N,132-49-41.9270W
'4Z7,55-54-11.9510N,130-00-24.1310W
'19AK,59-58-08.4680N,141-39-42.3730W
'2AK8,70-17-32.9610N,161-54-12.0030W
'IGG,59-19-26.5500N,155-54-06.3820W
'ILI,59-45-20.0812N,154-55-03.9081W
'2AK9,65-40-24.5180N,162-27-50.6260W
'KIB,55-53-51.1200N,159-29-19.2080W
'4Z9,59-27-07.7780N,151-31-20.5720W
'AK60,57-53-06.3590N,157-05-48.5530W
'AK94,58-23-26.8100N,134-46-36.4800W
'AA44,58-19-43.3300N,134-27-56.5600W
'5Z1,58-17-56.0000N,134-24-28.0000W
'JNU,58-21-16.9625N,134-34-42.4939W
'18AK,58-19-55.8250N,134-29-49.3920W
'73AK,58-35-30.0000N,134-54-00.0000W
'KAE,56-58-22.7870N,133-56-44.2130W
'AFE,56-57-40.9050N,133-54-36.9400W
'8AK7,70-10-22.0000N,146-50-10.0000W
'1KC,64-25-28.0100N,156-50-36.0200W
'KLG,61-32-09.5000N,160-20-44.1000W
'KAL,64-19-08.3280N,158-44-28.7010W
'5Z4,59-00-06.3100N,158-31-56.8720W
'5Z5,63-32-27.5500N,150-59-42.2800W
'Z90,63-45-04.3400N,150-19-48.9500W
'KYK,57-33-57.8000N,154-27-13.7000W
'KKL,57-22-01.3290N,154-01-39.3280W
'KXA,55-32-14.6900N,132-23-51.0520W
'Z09,60-52-24.0000N,162-31-27.5000W
'AK5,60-15-20.0000N,151-18-11.0000W
'5KS,60-21-01.8750N,151-15-46.2830W
'5Z9,58-33-17.4350N,155-46-38.5950W
'RK1,69-40-36.3950N,146-54-00.1650W
'6AK3,60-43-45.9860N,151-16-41.0460W
'8AK2,60-42-09.0000N,151-17-39.0000W
'30AK,60-30-09.9300N,151-15-36.0100W
'3AK5,60-35-19.9230N,152-09-43.1180W
'75AK,60-35-35.0400N,151-19-40.6400W
'2R3,60-42-15.9700N,151-18-41.0500W
'03AK,60-43-38.0000N,151-07-58.0000W
'3AK4,60-37-56.9600N,151-20-24.0480W
'ENA,60-34-23.8000N,151-14-41.4000W
'82AK,60-31-46.2954N,151-15-24.2570W
'17AK,55-22-58.7430N,131-44-06.0660W
'5KE,55-20-40.0700N,131-39-48.3800W
'KTN,55-21-14.7000N,131-42-40.4000W
'8AK4,55-22-02.9400N,131-42-56.9200W
'8K9,55-23-22.7410N,131-44-17.0670W
'9C0,55-23-04.7420N,131-44-18.0680W
'3AK0,55-21-45.0000N,131-42-34.0000W
'IAN,66-58-33.4000N,160-26-11.5000W
'KVC,55-06-58.8500N,162-15-58.4900W
'AKN,58-40-35.3765N,156-38-55.2876W
'IIK,59-55-53.8000N,164-01-41.2000W
'KKB,58-11-27.4060N,152-22-13.7550W
'KVL,67-44-10.1000N,164-33-48.6000W
'AQC,55-33-16.7670N,133-06-06.0940W
'AKW,55-34-45.2400N,133-04-33.5900W
'OBU,66-54-44.4000N,156-53-50.4000W
'ADQ,57-44-59.8800N,152-29-37.6600W
'9Z3,57-48-09.3020N,152-22-57.8340W
'KDK,57-48-21.3030N,152-22-25.8290W
'T44,57-46-51.0000N,152-23-29.0000W
'9K2,59-25-59.8300N,154-48-09.3300W
'JZZ,59-43-36.2700N,157-15-37.0100W
'DUY,59-57-41.8710N,162-52-50.1380W
'2A9,63-01-50.1000N,163-31-57.5000W
'OTZ,66-53-05.3000N,162-35-53.3000W
'KKA,64-56-22.3000N,161-09-15.4000W
'KYU,64-52-32.9000N,157-43-49.6000W
'LKK,58-57-54.0200N,155-05-44.2050W
'AA38,70-28-56.9300N,149-51-11.6400W
'27AK,70-20-34.9500N,149-35-20.6300W
'AA51,70-33-22.5000N,149-54-37.9000W
'UBW,70-19-50.4000N,149-35-53.0000W
'KWT,60-47-25.2000N,161-26-37.3000W
'GGV,59-52-32.1050N,163-10-04.9350W
'Z55,62-17-29.8250N,146-34-38.4600W
'13S,62-16-58.2790N,146-31-07.9210W
'2A3,57-32-06.3000N,153-58-36.0000W
'9Z9,60-24-42.7850N,149-22-09.6300W
'ALZ,56-53-58.1540N,154-14-52.2480W
'9Z8,59-07-37.5000N,156-51-35.6000W
'2AK,61-21-32.8700N,155-26-25.3900W
'4AK,65-28-02.1700N,148-39-13.4900W
'AK71,70-54-38.6830N,153-14-31.9740W
'4AK3,61-22-40.3770N,143-19-33.4500W
'13Z,55-36-04.7010N,131-38-12.0590W
'4AK5,62-59-23.5760N,144-28-47.9960W
'MLY,64-59-16.6000N,150-38-51.3000W
'MBA,58-55-55.4000N,158-54-06.8000W
'MDM,61-51-51.0000N,162-01-34.0000W
'MYK,61-20-10.1800N,142-41-09.1900W
'0AK5,61-21-23.4500N,142-44-00.4000W
'0AK8,61-25-08.5000N,142-59-03.2500W
'AK0,61-13-07.9400N,142-53-28.3600W
'15Z,61-26-16.1487N,142-54-09.0108W
'AK31,61-24-40.4080N,143-00-04.4460W
'56AK,62-32-43.4000N,154-00-07.6000W
'MCG,62-57-10.0221N,155-36-25.3730W
'16Z,62-57-28.7460N,155-35-35.4450W
'AK40,63-13-45.0500N,154-45-37.2100W
'AK06,63-38-42.3580N,148-47-53.2700W
'INR,63-43-57.3540N,148-54-38.2980W
'24AK,61-36-56.7000N,149-42-24.9500W
'MYU,60-22-20.6000N,166-16-12.7000W
'MTM,55-07-51.7630N,131-34-41.0430W
'84K,55-44-22.6900N,132-15-18.0660W
'MDO,59-26-59.7970N,146-18-26.0660W
'MHM,63-53-09.5000N,152-18-06.6000W
'51Z,65-08-53.4000N,149-22-06.9000W
'0AK3,62-02-05.3700N,150-29-27.7600W
'99AK,62-35-56.5540N,157-09-06.5010W
'52Z,60-38-27.8920N,149-29-49.6840W
'KMY,57-01-32.1080N,154-08-45.3070W
'MOU,62-05-41.2000N,163-40-58.3000W
'IBN,62-24-06.6460N,142-59-43.6850W
'76Z,58-55-39.3780N,157-02-49.7480W
'5NK,58-44-04.7863N,157-01-30.7575W
'4AK9,58-44-03.3710N,157-00-25.7110W
'78Z,61-42-11.9500N,150-00-25.7000W
'AK07,59-14-27.5970N,151-52-37.6150W
'KEB,59-21-07.7340N,151-55-30.5610W
'4AK8,61-32-10.7300N,158-44-20.2700W
'WNA,60-41-25.2000N,161-58-42.6000W
'PKA,60-42-10.5000N,161-46-41.9000W
'OUL,56-00-27.1300N,161-09-37.3220W
'ENN,64-32-50.3851N,149-04-26.3107W
'KNW,59-27-05.5000N,157-22-23.4000W
'EWU,60-56-20.9000N,164-38-28.5000W
'WWT,60-55-25.1550N,164-39-22.3700W
'IGT,60-28-09.0150N,164-42-14.5350W
'AK73,60-43-30.9850N,151-18-08.0500W
'AK11,60-46-23.4000N,151-13-49.9000W
'1AK5,60-44-23.0000N,151-18-30.0000W
'FSP,63-01-06.8000N,154-21-30.4000W
'IKO,52-56-29.6000N,168-50-56.5000W
